date_hour,lat,long,signal,network,operator,status,description,net,speed,satellites,precission,provider,activity,downloadSpeed,uploadSpeed,postal_code,town_name,position_geom,SHAPE
2017-12-10 11:37:49,42.23871,1.24803,5,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,1.8,10.0,16.0,gps,UNKNOWN,0.0,0.0,250616.0,Cabó,POINT(1.24803 42.23871),"{'spatialReference': {'wkid': 4326}, 'x': 1.24803, 'y': 42.23871}"
2017-12-10 17:25:10,41.02428,0.90939,16,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,4.9,4.0,64.0,gps,UNKNOWN,0.0,0.0,431628.0,Vandellòs i l'Hospitalet de l'Infant,POINT(0.90939 41.02428),"{'spatialReference': {'wkid': 4326}, 'x': 0.90939, 'y': 41.02428}"
2017-12-10 10:34:09,41.27599,1.55962,8,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,2G,112.7,8.0,8.0,gps,IN_VEHICLE,0.0,0.0,430206.0,Banyeres del Penedès,POINT(1.55962 41.27599),"{'spatialReference': {'wkid': 4326}, 'x': 1.55962, 'y': 41.27599}"
2017-12-10 10:41:43,41.18163,1.46125,9,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,2G,107.4,8.0,7.0,gps,IN_VEHICLE,0.0,0.0,431310.0,Roda de Barà,POINT(1.46125 41.18163),"{'spatialReference': {'wkid': 4326}, 'x': 1.46125, 'y': 41.18163}"
2017-12-10 10:42:43,41.18214,1.43861,9,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,2G,114.0,7.0,6.0,gps,IN_VEHICLE,0.0,0.0,431310.0,Roda de Barà,POINT(1.43861 41.18214),"{'spatialReference': {'wkid': 4326}, 'x': 1.43861, 'y': 41.18214}"
2017-12-10 21:44:25,41.63431,2.33593,5,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,61.6,10.0,3.0,gps,IN_VEHICLE,0.0,0.0,81810.0,la Roca del Vallès,POINT(2.33593 41.63431),"{'spatialReference': {'wkid': 4326}, 'x': 2.33593, 'y': 41.63431}"
2017-12-10 18:48:10,41.91385,2.30708,5,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,108.6,8.0,6.0,gps,IN_VEHICLE,0.0,0.0,82205.0,Sant Julià de Vilatorta,POINT(2.30708 41.91385),"{'spatialReference': {'wkid': 4326}, 'x': 2.30708, 'y': 41.91385}"
2017-12-10 10:51:01,42.07046,2.34804,4,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,69.2,13.0,6.0,gps,IN_VEHICLE,0.0,0.0,82331.0,Sant Pere de Torelló,POINT(2.34804 42.07046),"{'spatialReference': {'wkid': 4326}, 'x': 2.34804, 'y': 42.07046}"
2017-12-10 12:14:38,41.67649,2.38167,13,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,15.2,2.0,10.0,gps,IN_VEHICLE,0.0,0.0,82346.0,Sant Pere de Vilamajor,POINT(2.38167 41.67649),"{'spatialReference': {'wkid': 4326}, 'x': 2.38167, 'y': 41.67649}"
2017-12-10 22:44:37,42.19888,2.27475,2,movistar,Movistar,2,STATE_EMERGENCY_ONLY,2G,40.3,6.0,42.0,gps,IN_VEHICLE,0.0,0.0,171707.0,Vallfogona de Ripollès,POINT(2.27475 42.19888),"{'spatialReference': {'wkid': 4326}, 'x': 2.27475, 'y': 42.19888}"
2017-12-10 10:47:35,42.12095,2.34653,4,orange,Orange SP,2,STATE_EMERGENCY_ONLY,2G,15.1,8.0,13.0,gps,IN_VEHICLE,0.0,0.0,82331.0,Sant Pere de Torelló,POINT(2.34653 42.12095),"{'spatialReference': {'wkid': 4326}, 'x': 2.34653, 'y': 42.12095}"
2017-12-10 09:58:32,41.38633,2.13892,9,vodafone,vodafone ES,2,STATE_EMERGENCY_ONLY,2G,3.1,8.0,30.0,gps,IN_VEHICLE,0.0,0.0,80193.0,Barcelona,POINT(2.13892 41.38633),"{'spatialReference': {'wkid': 4326}, 'x': 2.13892, 'y': 41.38633}"
2017-12-10 22:29:52,41.67895,2.42424,7,yoigo,Yoigo,0,STATE_IN_SERVICE,3G,1.1,2.0,15.0,gps,STILL,0.0,0.0,82346.0,Sant Pere de Vilamajor,POINT(2.42424 41.67895),"{'spatialReference': {'wkid': 4326}, 'x': 2.42424, 'y': 41.67895}"
2017-12-10 21:05:31,41.49886,2.32033,11,orange,Orange,0,STATE_IN_SERVICE,3G,0.0,4.0,8.0,gps,STILL,0.0,0.0,82819.0,Teià,POINT(2.32033 41.49886),"{'spatialReference': {'wkid': 4326}, 'x': 2.32033, 'y': 41.49886}"
2017-12-10 14:59:28,41.29135,2.07445,18,simyo 3g,simyo,2,STATE_EMERGENCY_ONLY,3G,1.1,14.0,7.0,gps,STILL,0.0,0.0,81691.0,el Prat de Llobregat,POINT(2.07445 41.29135),"{'spatialReference': {'wkid': 4326}, 'x': 2.07445, 'y': 41.29135}"
2017-12-10 11:24:43,41.08209,1.0987,14,jazztel,JAZZTEL,2,STATE_EMERGENCY_ONLY,3G,1.3,17.0,3.0,gps,STILL,0.0,0.0,430385.0,Cambrils,POINT(1.0987 41.08209),"{'spatialReference': {'wkid': 4326}, 'x': 1.0987, 'y': 41.08209}"
2017-12-10 03:59:21,41.68155,2.48887,15,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,0.2,14.0,10.0,gps,STILL,0.0,0.0,82021.0,Sant Celoni,POINT(2.48887 41.68155),"{'spatialReference': {'wkid': 4326}, 'x': 2.48887, 'y': 41.68155}"
2017-12-10 05:09:48,41.68885,2.37243,22,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,0.0,3.0,25.0,gps,STILL,0.0,0.0,82346.0,Sant Pere de Vilamajor,POINT(2.37243 41.68885),"{'spatialReference': {'wkid': 4326}, 'x': 2.37243, 'y': 41.68885}"
2017-12-10 13:27:55,41.69173,2.37135,3,movistar,Movistar,2,STATE_EMERGENCY_ONLY,3G,4.4,4.0,54.0,gps,STILL,0.0,0.0,82346.0,Sant Pere de Vilamajor,POINT(2.37135 41.69173),"{'spatialReference': {'wkid': 4326}, 'x': 2.37135, 'y': 41.69173}"
2017-12-10 21:27:46,41.28782,2.07118,22,simyo 3g,simyo,2,STATE_EMERGENCY_ONLY,3G,5.7,7.0,22.0,gps,ON_FOOT,0.0,0.0,81691.0,el Prat de Llobregat,POINT(2.07118 41.28782),"{'spatialReference': {'wkid': 4326}, 'x': 2.07118, 'y': 41.28782}"
2017-12-10 20:22:38,41.37601,2.07905,23,orange,Orange,2,STATE_EMERGENCY_ONLY,3G,3.2,2.0,3.0,gps,ON_FOOT,0.0,0.0,80771.0,Esplugues de Llobregat,POINT(2.07905 41.37601),"{'spatialReference': {'wkid': 4326}, 'x': 2.07905, 'y': 41.37601}"
2017-12-10 18:54:13,41.37604,2.07848,20,orange,Orange,2,STATE_EMERGENCY_ONLY,3G,3.1,9.0,13.0,gps,ON_FOOT,0.0,0.0,80771.0,Esplugues de Llobregat,POINT(2.07848 41.37604),"{'spatialReference': {'wkid': 4326}, 'x': 2.07848, 'y': 41.37604}"
